product_name,shipping_fee,page_number,product_condition,seller_feedback_score,origin_country,manufacturer,category,product_price
galaxy s10,104.31,3,Used,27114,United Kingdom,samsung,Smartphones,1574.29
dell precision,154.42,1,Seller refurbished,11394,United States,dell,Computers,2145.16
asus vivobook,162.21,3,New,337,United States,asus,Computers,1628.31
lenovo tab,81.78,2,Seller refurbished,12752,United Kingdom,lenovo,Tablets,337.31
galaxy s20,117.45,4,Used,87,Germany,samsung,Smartphones,1562.66
galaxy tab,171.89,1,New,399,United States,samsung,Tablets,2024.71
dell precision,242.34,1,Used,126,United States,dell,Computers,1329.37
lenovo tab,84.98,1,Seller refurbished,12752,United Kingdom,lenovo,Tablets,414.26
xiaomi mi 11,161.12,1,New,188,Hong Kong,xiaomi,Smartphones,3770.94
xiaomi mi 10,199.7,2,New,128,Germany,xiaomi,Smartphones,1868.15
asus zenbook,214.11,4,New,6008,United Kingdom,asus,Computers,4353.16
iphone x,127.93,1,Used,51,"United States and many other countries 
									|  See details",apple,Smartphones,1056.35
galaxy tab,136.37,3,Used,9776,United Kingdom,samsung,Tablets,72.23
lenovo thinkpad,196.2,2,Open box,846,United Kingdom,lenovo,Computers,3222.31
hp zbook,172.38,1,Used,2974,United States,hp,Computers,1943.73
galaxy tab,178.43,1,Used,924,United Kingdom,samsung,Tablets,2646.93
macbook pro,194.68,3,For parts or not working,1685,United Kingdom,apple,Computers,4.56
dell precision,201.42,3,Used,1,United States,dell,Computers,1295.24
lenovo ideapad,129.76,4,New,7105,United States,lenovo,Computers,1095.8
iphone 12,144.82,2,New,743,United Kingdom,apple,Smartphones,2439.78
oneplus nord,152.76,1,New,116,United States,oneplus,Smartphones,503.76
huawei p40,87.04,4,Open box,10255,United Kingdom,huawei,Smartphones,625.23
macbook pro,299.23,4,Used,669,United States,apple,Computers,6288.37
galaxy s10,130.69,4,Seller refurbished,12966,United States,samsung,Smartphones,1280.62
asus zenbook,261.35,4,New,2829,United States,asus,Computers,3639.42
lenovo thinkpad,225.1,2,Used,364,United Kingdom,lenovo,Computers,718.12
ipad pro,130.84,3,Seller refurbished,5219,United States,apple,Tablets,2048.02
oneplus nord,116.98,1,New,119196,United States,oneplus,Smartphones,903.55
galaxy s21,167.93,2,New,129,United Kingdom,samsung,Smartphones,4971.63
xiaomi redmibook,16.3,1,New,6935,China,xiaomi,Computers,158.42
dell latitude,176.86,3,Used,758,United States,dell,Tablets,865.98
xiaomi mi 10,0.0,3,New,5010,United Kingdom,xiaomi,Smartphones,1659.79
lenovo thinkpad,175.49,2,New,2534,United States,lenovo,Computers,2324.83
galaxy s10,117.21,4,Used,3543,United States,samsung,Smartphones,1348.87
dell precision,154.62,3,Used,2341,United States,dell,Computers,1397.6
lenovo thinkbook,204.94,1,New,318627,United States,lenovo,Computers,3449.01
galaxy book,112.1,1,Used,27587,United States,samsung,Computers,1083.0
iphone 11,118.95,1,For parts or not working,9161,United Kingdom,apple,Smartphones,989.72
lenovo ideapad,206.82,2,Seller refurbished,40683,United Kingdom,lenovo,Computers,2103.55
galaxy s20,89.71,1,New,17171,United States,samsung,Smartphones,1153.86
iphone 11,157.18,3,Used,14763,United States,apple,Smartphones,2198.1
xiaomi mi 11,116.98,1,New,119196,United States,xiaomi,Smartphones,5525.48
dell vostro,205.18,2,Seller refurbished,11993,United States,dell,Computers,3615.78
huawei mediapad,104.94,1,Used,1328,United Kingdom,huawei,Tablets,224.86
iphone 12,168.45,2,New,92,United Kingdom,apple,Smartphones,2681.75
galaxy s21,27.42,1,New,0,Philippines,samsung,Smartphones,1374.89
lenovo tab,32.42,3,New,6603,Hong Kong,lenovo,Tablets,1207.25
galaxy s21,152.51,1,New,133,United States,samsung,Smartphones,2398.11
huawei p30,89.93,4,New,1641,China,huawei,Smartphones,2364.8
huawei p40,139.89,1,New,17243,Hong Kong,huawei,Smartphones,3164.07
iphone x,87.94,4,Used,399,United Kingdom,apple,Smartphones,674.67
iphone 11,100.52,2,Used,546,United States,apple,Smartphones,1632.04
dell precision,229.76,3,Seller refurbished,1880,United Kingdom,dell,Computers,2676.36
galaxy s10,0.0,3,Seller refurbished,16188,China,samsung,Smartphones,971.71
iphone 12,85.22,1,Used,357,United States,apple,Smartphones,2573.34
galaxy tab,121.46,1,New,1220,United States,samsung,Tablets,16.22
lenovo thinkbook,262.46,2,New,20349,United States,lenovo,Computers,3315.55
lenovo thinkpad,155.55,1,Seller refurbished,7415,United Kingdom,lenovo,Computers,989.03
iphone x,76.54,2,For parts or not working,17171,United States,apple,Smartphones,256.03
galaxy tab,163.84,1,Used,39515,United States,samsung,Tablets,70.1
lenovo thinkbook,180.49,3,Certified refurbished,8407,United States,lenovo,Computers,2997.6
macbook pro,59.8,1,Used,440,United Kingdom,apple,Computers,545.5
macbook pro,149.48,1,Used,1091,United States,apple,Computers,2128.32
iphone 11,0.0,1,Used,4,Russian Federation,apple,Smartphones,2398.11
dell precision,226.48,3,Open box,3461,United Kingdom,dell,Computers,3778.17
asus zephyrus,226.35,2,New,11993,United States,asus,Computers,4745.4
xiaomi mi 10,199.7,4,New,128,Germany,xiaomi,Smartphones,1288.51
lenovo thinkpad,128.94,4,Used,8407,United States,lenovo,Computers,812.54
asus vivobook,58.76,1,New,2,France,asus,Computers,1566.83
huawei mediapad,103.14,3,New,431,United Kingdom,huawei,Tablets,899.39
iphone 12,0.0,2,New,0,Philippines,apple,Smartphones,1763.59
xiaomi mi 10,112.45,3,Open box,1685,United Kingdom,xiaomi,Smartphones,2069.08
oneplus nord,157.43,3,New,640,Hong Kong,oneplus,Smartphones,1826.13
galaxy s20,116.59,3,Used,2153,United Kingdom,samsung,Smartphones,2249.04
ipad pro,93.9,3,Used,87707,United States,apple,Tablets,499.1
iphone x,162.06,3,Used,52,United States,apple,Smartphones,2145.2
lenovo thinkbook,268.42,3,New,104100,United Kingdom,lenovo,Computers,6519.97
lenovo tab,135.66,2,Used,244,United States,lenovo,Tablets,832.68
xiaomi mi 10,81.26,2,New,530,China,xiaomi,Smartphones,2600.21
lenovo thinkpad,142.92,4,Seller refurbished,2497,United States,lenovo,Computers,1186.33
lenovo tab,125.33,4,New,60,Bulgaria,lenovo,Tablets,511.88
macbook air,125.2,3,Used,4770,United States,apple,Computers,1255.67
ipad pro,232.47,4,Used,41,United States,apple,Tablets,1952.98
galaxy s21,136.09,4,New,289,United States,samsung,Smartphones,2797.79
asus zenbook,78.4,1,Used,158,Germany,asus,Computers,1097.55
dell xps,207.08,2,New,1203,United States,dell,Computers,3737.81
huawei mediapad,83.03,1,Used,1277,United Kingdom,huawei,Tablets,404.83
galaxy s21,123.07,2,Open box,44570,United States,samsung,Smartphones,2597.91
hp zbook,267.21,1,New,296957,United States,hp,Computers,6501.67
ipad pro,466.56,2,Used,23,United States,apple,Tablets,2608.32
lenovo thinkpad,154.06,2,Used,438,United Kingdom,lenovo,Computers,1079.5
asus rog strix scar,235.61,1,New,78929,United Kingdom,asus,Computers,4275.45
asus zenbook,188.32,4,New,296957,United States,asus,Computers,3140.38
lenovo tab,227.15,4,New,8437,Poland,lenovo,Tablets,699.6
iphone 12,178.93,4,New,192,United Kingdom,apple,Smartphones,4603.32
iphone 11,161.27,3,Used,498,United States,apple,Smartphones,1698.66
galaxy s20,102.09,1,Seller refurbished,94331,United States,samsung,Smartphones,1592.61
ipad air,96.39,4,Used,514,United States,apple,Tablets,532.88
huawei p40,199.73,2,New,128,Germany,huawei,Smartphones,3051.4
galaxy s10,88.44,4,Used,43886,United States,samsung,Smartphones,877.55
hp zbook,175.46,4,Seller refurbished,23554,United States,hp,Computers,2510.69
iphone 12,156.5,2,Used,155,United Kingdom,apple,Smartphones,2159.03
iphone 11,99.55,4,Open box,214574,United States,apple,Smartphones,1825.19
iphone x,96.95,2,Seller refurbished,59433,United Kingdom,apple,Smartphones,1127.2
iphone x,13.49,4,New,9,China,apple,Smartphones,1394.41
ipad pro,184.15,2,Used,4459,United States,apple,Tablets,2321.4
iphone 12,0.0,2,New,0,Philippines,apple,Smartphones,1481.78
macbook air,172.46,3,Open box,174,United States,apple,Computers,3330.67
asus zenbook,212.81,3,New,11993,United States,asus,Computers,5184.0
galaxy s20,107.68,4,Seller refurbished,94331,United States,samsung,Smartphones,1885.14
huawei matebook,191.91,2,New,16243,Germany,huawei,Computers,3246.34
galaxy s20,122.47,3,Used,7719,United States,samsung,Smartphones,1625.15
huawei matebook,178.53,2,Open box,5367,United Kingdom,huawei,Computers,2424.47
lenovo thinkpad,148.71,4,Seller refurbished,7415,United Kingdom,lenovo,Computers,898.94
hp zbook,275.43,1,New,4617,United States,hp,Computers,6500.6
galaxy s20,147.49,1,Used,9776,United Kingdom,samsung,Smartphones,967.09
ipad air,97.32,4,Used,2567,United States,apple,Tablets,582.87
huawei p40,125.95,2,New,29,United Kingdom,huawei,Smartphones,1479.87
huawei mediapad,100.31,1,Open box,916,United Kingdom,huawei,Tablets,446.48
xiaomi mi 11,81.26,1,New,530,China,xiaomi,Smartphones,5070.43
xiaomi mi 10,199.7,3,New,128,Germany,xiaomi,Smartphones,2279.37
galaxy s20,110.85,1,Used,8633,United States,samsung,Smartphones,89.93
asus zenbook,239.21,1,New,25284,United Kingdom,asus,Computers,3159.79
gigabyte aero,274.02,1,New,11993,United States,gigabyte,Computers,7261.38
asus zenbook,217.45,3,Seller refurbished,78929,United Kingdom,asus,Computers,4536.57
iphone 12,0.0,1,New,0,Philippines,apple,Smartphones,1809.04
iphone 12,113.51,1,Seller refurbished,1262,United States,apple,Smartphones,2098.31
galaxy s10,87.82,4,Seller refurbished,2383,United States,samsung,Smartphones,845.05
xiaomi redmibook,15.64,1,New,209973,Germany,xiaomi,Computers,59.15
dell precision,273.61,1,Seller refurbished,2875,United States,dell,Computers,5200.45
dell precision,195.77,3,Used,22580,United States,dell,Computers,1689.99
galaxy s20,92.07,1,Used,198,United Kingdom,samsung,Smartphones,1334.98
huawei p40,113.47,1,Used,549,United Kingdom,huawei,Smartphones,1979.45
asus vivobook,215.44,2,New,25284,United Kingdom,asus,Computers,1657.16
asus zenbook,0.0,4,New,6426,South,asus,Computers,4564.52
dell xps,205.79,3,Used,4780,United Kingdom,dell,Computers,2698.81
gigabyte aero,272.08,1,Seller refurbished,11993,United States,gigabyte,Computers,6776.78
lenovo thinkpad,165.89,1,For parts or not working,3461,United Kingdom,lenovo,Computers,449.58
asus zenbook,0.0,4,New,6426,South,asus,Computers,6194.72
asus zenbook,156.79,4,New,16243,Germany,asus,Computers,6439.86
macbook pro,199.38,2,Used,426,United States,apple,Computers,109.91
xiaomi mi 11,117.57,1,New,4063,Italy,xiaomi,Smartphones,3213.06
iphone x,46.45,1,Used,0,Ukraine,apple,Smartphones,874.33
iphone x,91.33,3,Used,78415,United States,apple,Smartphones,1030.34
huawei matebook,204.05,4,Open box,40683,United Kingdom,huawei,Computers,2735.64
galaxy s10,91.69,4,Seller refurbished,12972,United States,samsung,Smartphones,1048.38
galaxy s20,147.58,3,New,415,United States,samsung,Smartphones,2391.44
asus zenbook,270.44,4,Open box,25284,United Kingdom,asus,Computers,4875.18
lenovo thinkpad,283.1,3,Seller refurbished,1303,United States,lenovo,Computers,929.2
iphone x,102.58,4,Used,81,United States,apple,Smartphones,732.94
macbook pro,225.06,1,Used,212,United Kingdom,apple,Computers,1657.21
oneplus nord,80.05,1,New,603,United States,oneplus,Smartphones,438.76
oneplus 8 pro,149.48,1,New,119196,United States,oneplus,Smartphones,1820.13
dell precision,139.41,3,Used,2022,United States,dell,Computers,601.31
galaxy tab,120.57,3,Used,535,United Kingdom,samsung,Tablets,103.83
macbook air,92.73,1,For parts or not working,4223,United States,apple,Computers,341.4
galaxy s21,114.61,2,Open box,565,United States,samsung,Smartphones,2154.96
iphone 11,162.18,4,Seller refurbished,9,Australia,apple,Smartphones,1757.94
asus vivobook,194.81,2,Open box,2586,United States,asus,Computers,1627.78
lenovo ideapad,171.8,4,New,7289,United States,lenovo,Computers,2131.65
macbook pro,187.09,4,Used,2374,United States,apple,Computers,2514.68
ipad pro,147.52,2,New,13,United Kingdom,apple,Tablets,2365.43
lenovo tab,83.27,1,Used,914,United Kingdom,lenovo,Tablets,322.19
huawei p30,138.05,1,Used,3108,United Kingdom,huawei,Smartphones,828.56
ipad pro,151.21,4,Used,20,Australia,apple,Tablets,3024.15
oneplus nord,116.46,2,New,471,United Kingdom,oneplus,Smartphones,2240.81
lenovo thinkpad,213.14,1,Used,1262,United Kingdom,lenovo,Computers,313.03
huawei matebook,207.63,1,Used,211,United Kingdom,huawei,Computers,1147.01
hp zbook,202.08,1,Seller refurbished,1313,United Kingdom,hp,Computers,3713.01
huawei p40,27.42,1,Seller refurbished,30,France,huawei,Smartphones,1936.29
huawei p40,174.73,2,New,5010,United Kingdom,huawei,Smartphones,858.46
macbook air,143.35,3,Used,14816,United Kingdom,apple,Computers,998.7
lenovo tab,97.91,3,New,19859,France,lenovo,Tablets,663.41
oneplus nord,87.04,1,New,78929,United Kingdom,oneplus,Smartphones,625.23
huawei matebook,294.2,1,Open box,25284,United Kingdom,huawei,Computers,5984.23
dell vostro,189.19,2,Used,509,United Kingdom,dell,Computers,762.9
macbook pro,795.04,3,Used,704,United States,apple,Computers,2261.55
galaxy s20,106.09,3,Open box,43886,United States,samsung,Smartphones,1527.61
macbook pro,188.48,4,Used,180,United States,apple,Computers,1249.01
asus vivobook,432.96,2,New,12112,United States,asus,Computers,2098.31
galaxy s10,91.24,1,Seller refurbished,94331,United States,samsung,Smartphones,1023.84
iphone 11,109.38,1,Used,1255,United Kingdom,apple,Smartphones,782.57
xiaomi mi 10,95.31,1,New,221,United Kingdom,xiaomi,Smartphones,1079.5
macbook pro,139.39,1,Seller refurbished,94258,United States,apple,Computers,1998.32
huawei p30,0.0,4,New,5010,United Kingdom,huawei,Smartphones,4046.36
galaxy s21,142.79,3,Used,1131,United States,samsung,Smartphones,3630.3
asus zenbook,266.55,3,New,16243,Germany,asus,Computers,13162.34
macbook air,213.92,2,Used,94,United Kingdom,apple,Computers,1044.96
iphone 12,135.85,1,Used,1255,United Kingdom,apple,Smartphones,943.69
